,year,quarter,state,district,registered_user
0,2018,Q1,andaman-&-nicobar-islands,north and middle andaman district,632
1,2018,Q1,andaman-&-nicobar-islands,south andaman district,5846
2,2018,Q1,andaman-&-nicobar-islands,nicobars district,262
3,2018,Q2,andaman-&-nicobar-islands,north and middle andaman district,911
4,2018,Q2,andaman-&-nicobar-islands,south andaman district,8143
5,2018,Q2,andaman-&-nicobar-islands,nicobars district,351
6,2018,Q3,andaman-&-nicobar-islands,north and middle andaman district,1208
7,2018,Q3,andaman-&-nicobar-islands,south andaman district,10474
8,2018,Q3,andaman-&-nicobar-islands,nicobars district,467
9,2018,Q4,andaman-&-nicobar-islands,north and middle andaman district,1553
10,2018,Q4,andaman-&-nicobar-islands,south andaman district,13133
11,2018,Q4,andaman-&-nicobar-islands,nicobars district,536
12,2019,Q1,andaman-&-nicobar-islands,north and middle andaman district,2013
13,2019,Q1,andaman-&-nicobar-islands,south andaman district,15961
14,2019,Q1,andaman-&-nicobar-islands,nicobars district,622
15,2019,Q2,andaman-&-nicobar-islands,north and middle andaman district,2417
16,2019,Q2,andaman-&-nicobar-islands,south andaman district,18621
17,2019,Q2,andaman-&-nicobar-islands,nicobars district,693
18,2019,Q3,andaman-&-nicobar-islands,north and middle andaman district,2662
19,2019,Q3,andaman-&-nicobar-islands,south andaman district,20518
20,2019,Q3,andaman-&-nicobar-islands,nicobars district,751
21,2019,Q4,andaman-&-nicobar-islands,north and middle andaman district,2955
22,2019,Q4,andaman-&-nicobar-islands,south andaman district,22202
23,2019,Q4,andaman-&-nicobar-islands,nicobars district,803
24,2020,Q1,andaman-&-nicobar-islands,north and middle andaman district,3315
25,2020,Q1,andaman-&-nicobar-islands,south andaman district,24174
26,2020,Q1,andaman-&-nicobar-islands,nicobars district,879
27,2020,Q2,andaman-&-nicobar-islands,north and middle andaman district,4100
28,2020,Q2,andaman-&-nicobar-islands,south andaman district,27626
29,2020,Q2,andaman-&-nicobar-islands,nicobars district,984
30,2020,Q3,andaman-&-nicobar-islands,north and middle andaman district,5355
31,2020,Q3,andaman-&-nicobar-islands,south andaman district,34833
32,2020,Q3,andaman-&-nicobar-islands,nicobars district,1147
33,2020,Q4,andaman-&-nicobar-islands,north and middle andaman district,7076
34,2020,Q4,andaman-&-nicobar-islands,south andaman district,43908
35,2020,Q4,andaman-&-nicobar-islands,nicobars district,1412
36,2021,Q1,andaman-&-nicobar-islands,north and middle andaman district,7833
37,2021,Q1,andaman-&-nicobar-islands,south andaman district,48352
38,2021,Q1,andaman-&-nicobar-islands,nicobars district,1573
39,2021,Q2,andaman-&-nicobar-islands,north and middle andaman district,8493
40,2021,Q2,andaman-&-nicobar-islands,south andaman district,51903
41,2021,Q2,andaman-&-nicobar-islands,nicobars district,1699
42,2021,Q3,andaman-&-nicobar-islands,north and middle andaman district,9263
43,2021,Q3,andaman-&-nicobar-islands,south andaman district,55873
44,2021,Q3,andaman-&-nicobar-islands,nicobars district,1846
45,2021,Q4,andaman-&-nicobar-islands,north and middle andaman district,10002
46,2021,Q4,andaman-&-nicobar-islands,south andaman district,59807
47,2021,Q4,andaman-&-nicobar-islands,nicobars district,1971
48,2022,Q1,andaman-&-nicobar-islands,north and middle andaman district,10720
49,2022,Q1,andaman-&-nicobar-islands,south andaman district,63487
50,2022,Q1,andaman-&-nicobar-islands,nicobars district,2081
51,2022,Q2,andaman-&-nicobar-islands,north and middle andaman district,11379
52,2022,Q2,andaman-&-nicobar-islands,south andaman district,66959
53,2022,Q2,andaman-&-nicobar-islands,nicobars district,2192
54,2022,Q3,andaman-&-nicobar-islands,north and middle andaman district,11897
55,2022,Q3,andaman-&-nicobar-islands,south andaman district,70445
56,2022,Q3,andaman-&-nicobar-islands,nicobars district,2300
57,2022,Q4,andaman-&-nicobar-islands,north and middle andaman district,12361
58,2022,Q4,andaman-&-nicobar-islands,south andaman district,73692
59,2022,Q4,andaman-&-nicobar-islands,nicobars district,2389
60,2023,Q1,andaman-&-nicobar-islands,north and middle andaman district,12941
61,2023,Q1,andaman-&-nicobar-islands,south andaman district,77052
62,2023,Q1,andaman-&-nicobar-islands,nicobars district,2491
63,2023,Q2,andaman-&-nicobar-islands,north and middle andaman district,13600
64,2023,Q2,andaman-&-nicobar-islands,south andaman district,80112
65,2023,Q2,andaman-&-nicobar-islands,nicobars district,2617
66,2023,Q3,andaman-&-nicobar-islands,north and middle andaman district,14216
67,2023,Q3,andaman-&-nicobar-islands,south andaman district,83305
68,2023,Q3,andaman-&-nicobar-islands,nicobars district,2734
69,2023,Q4,andaman-&-nicobar-islands,north and middle andaman district,14813
70,2023,Q4,andaman-&-nicobar-islands,south andaman district,86348
71,2023,Q4,andaman-&-nicobar-islands,nicobars district,2817
72,2018,Q1,andhra-pradesh,east godavari district,350356
73,2018,Q1,andhra-pradesh,srikakulam district,143839
74,2018,Q1,andhra-pradesh,visakhapatnam district,497187
75,2018,Q1,andhra-pradesh,prakasam district,189949
76,2018,Q1,andhra-pradesh,anantapur district,241192
77,2018,Q1,andhra-pradesh,kurnool district,240133
78,2018,Q1,andhra-pradesh,guntur district,317065
79,2018,Q1,andhra-pradesh,krishna district,323673
80,2018,Q1,andhra-pradesh,spsr nellore district,194475
81,2018,Q1,andhra-pradesh,vizianagaram district,128905
82,2018,Q1,andhra-pradesh,ysr district,186800
83,2018,Q1,andhra-pradesh,west godavari district,213335
84,2018,Q1,andhra-pradesh,chittoor district,309541
85,2018,Q2,andhra-pradesh,east godavari district,454398
86,2018,Q2,andhra-pradesh,srikakulam district,186913
87,2018,Q2,andhra-pradesh,visakhapatnam district,636052
88,2018,Q2,andhra-pradesh,prakasam district,253458
89,2018,Q2,andhra-pradesh,anantapur district,326383
90,2018,Q2,andhra-pradesh,kurnool district,319313
91,2018,Q2,andhra-pradesh,guntur district,420326
92,2018,Q2,andhra-pradesh,krishna district,431965
93,2018,Q2,andhra-pradesh,spsr nellore district,261049
94,2018,Q2,andhra-pradesh,vizianagaram district,167327
95,2018,Q2,andhra-pradesh,ysr district,248657
96,2018,Q2,andhra-pradesh,west godavari district,282393
97,2018,Q2,andhra-pradesh,chittoor district,414306
98,2018,Q3,andhra-pradesh,east godavari district,558982
99,2018,Q3,andhra-pradesh,srikakulam district,228456
100,2018,Q3,andhra-pradesh,visakhapatnam district,769096
101,2018,Q3,andhra-pradesh,prakasam district,314899
102,2018,Q3,andhra-pradesh,anantapur district,405855
103,2018,Q3,andhra-pradesh,kurnool district,394311
104,2018,Q3,andhra-pradesh,guntur district,518931
105,2018,Q3,andhra-pradesh,krishna district,537086
106,2018,Q3,andhra-pradesh,spsr nellore district,322446
107,2018,Q3,andhra-pradesh,vizianagaram district,203655
108,2018,Q3,andhra-pradesh,ysr district,308391
109,2018,Q3,andhra-pradesh,west godavari district,349782
110,2018,Q3,andhra-pradesh,chittoor district,515727
111,2018,Q4,andhra-pradesh,east godavari district,694455
112,2018,Q4,andhra-pradesh,srikakulam district,284874
113,2018,Q4,andhra-pradesh,visakhapatnam district,978288
114,2018,Q4,andhra-pradesh,prakasam district,394962
115,2018,Q4,andhra-pradesh,anantapur district,510892
116,2018,Q4,andhra-pradesh,kurnool district,498582
117,2018,Q4,andhra-pradesh,guntur district,659552
118,2018,Q4,andhra-pradesh,krishna district,682479
119,2018,Q4,andhra-pradesh,spsr nellore district,407495
120,2018,Q4,andhra-pradesh,vizianagaram district,257824
121,2018,Q4,andhra-pradesh,ysr district,387058
122,2018,Q4,andhra-pradesh,west godavari district,435668
123,2018,Q4,andhra-pradesh,chittoor district,665280
124,2019,Q1,andhra-pradesh,east godavari district,839277
125,2019,Q1,andhra-pradesh,srikakulam district,345775
