,state,year,quarter,registered_user
0,andaman-&-nicobar-islands,2018,Q1,6740
1,andaman-&-nicobar-islands,2018,Q2,9405
2,andaman-&-nicobar-islands,2018,Q3,12149
3,andaman-&-nicobar-islands,2018,Q4,15222
4,andaman-&-nicobar-islands,2019,Q1,18596
5,andaman-&-nicobar-islands,2019,Q2,21731
6,andaman-&-nicobar-islands,2019,Q3,23931
7,andaman-&-nicobar-islands,2019,Q4,25960
8,andaman-&-nicobar-islands,2020,Q1,28368
9,andaman-&-nicobar-islands,2020,Q2,32710
10,andaman-&-nicobar-islands,2020,Q3,41335
11,andaman-&-nicobar-islands,2020,Q4,52396
12,andaman-&-nicobar-islands,2021,Q1,57758
13,andaman-&-nicobar-islands,2021,Q2,62095
14,andaman-&-nicobar-islands,2021,Q3,66982
15,andaman-&-nicobar-islands,2021,Q4,71780
16,andaman-&-nicobar-islands,2022,Q1,76288
17,andaman-&-nicobar-islands,2022,Q2,80530
18,andaman-&-nicobar-islands,2022,Q3,84642
19,andaman-&-nicobar-islands,2022,Q4,88442
20,andaman-&-nicobar-islands,2023,Q1,92484
21,andaman-&-nicobar-islands,2023,Q2,96329
22,andaman-&-nicobar-islands,2023,Q3,100255
23,andaman-&-nicobar-islands,2023,Q4,103978
24,andhra-pradesh,2018,Q1,3336450
25,andhra-pradesh,2018,Q2,4402540
26,andhra-pradesh,2018,Q3,5427617
27,andhra-pradesh,2018,Q4,6857409
28,andhra-pradesh,2019,Q1,8283019
29,andhra-pradesh,2019,Q2,9389003
30,andhra-pradesh,2019,Q3,10458693
31,andhra-pradesh,2019,Q4,11757883
32,andhra-pradesh,2020,Q1,13022060
33,andhra-pradesh,2020,Q2,14319675
34,andhra-pradesh,2020,Q3,15692405
35,andhra-pradesh,2020,Q4,17076565
36,andhra-pradesh,2021,Q1,18363733
37,andhra-pradesh,2021,Q2,19620905
38,andhra-pradesh,2021,Q3,21059898
39,andhra-pradesh,2021,Q4,22489029
40,andhra-pradesh,2022,Q1,23857951
41,andhra-pradesh,2022,Q2,25157264
42,andhra-pradesh,2022,Q3,26496330
43,andhra-pradesh,2022,Q4,27778016
44,andhra-pradesh,2023,Q1,29065863
45,andhra-pradesh,2023,Q2,30240061
46,andhra-pradesh,2023,Q3,31493897
47,andhra-pradesh,2023,Q4,32658698
48,arunachal-pradesh,2018,Q1,21495
49,arunachal-pradesh,2018,Q2,32883
50,arunachal-pradesh,2018,Q3,45922
51,arunachal-pradesh,2018,Q4,61852
52,arunachal-pradesh,2019,Q1,76957
53,arunachal-pradesh,2019,Q2,95885
54,arunachal-pradesh,2019,Q3,112149
55,arunachal-pradesh,2019,Q4,129321
56,arunachal-pradesh,2020,Q1,149066
57,arunachal-pradesh,2020,Q2,177534
58,arunachal-pradesh,2020,Q3,206046
59,arunachal-pradesh,2020,Q4,231292
60,arunachal-pradesh,2021,Q1,251240
61,arunachal-pradesh,2021,Q2,270572
62,arunachal-pradesh,2021,Q3,293073
63,arunachal-pradesh,2021,Q4,314944
64,arunachal-pradesh,2022,Q1,335339
65,arunachal-pradesh,2022,Q2,354528
66,arunachal-pradesh,2022,Q3,373372
67,arunachal-pradesh,2022,Q4,390307
68,arunachal-pradesh,2023,Q1,408273
69,arunachal-pradesh,2023,Q2,426410
70,arunachal-pradesh,2023,Q3,444789
71,arunachal-pradesh,2023,Q4,462088
72,assam,2018,Q1,385237
73,assam,2018,Q2,571046
74,assam,2018,Q3,784802
75,assam,2018,Q4,1039221
76,assam,2019,Q1,1259085
77,assam,2019,Q2,1500128
78,assam,2019,Q3,1731523
79,assam,2019,Q4,1941220
80,assam,2020,Q1,2185938
81,assam,2020,Q2,2550883
82,assam,2020,Q3,2830011
83,assam,2020,Q4,3106153
84,assam,2021,Q1,3358448
85,assam,2021,Q2,3617056
86,assam,2021,Q3,3918480
87,assam,2021,Q4,4209591
